Group	Sub-Group / Table of Content in section of journeybook	Question	Default	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option 7	Option 8	Option 9	Option 10	Option 11	Option 12	Option 13	Option 14	Option 15	Option 16	Option 17	Option 18	Option 19	Option 20	Option 21	Option 22	Option 23	Option 24	Option 25	Option 26	Option 27	Option 28	Option 29	
VALUE	TRAIT	Your age is UNDER	NULL	30	40	50	60																										4
VALUE	TRAIT	Your age is OVER	NULL	30	40	50	60																										4
VALUE	TRAIT 	Your GENDER IS	NULL	MALE 	FEMALE	GROUP																											
VALUE	TRAIT	Date of Birth - Used for Astrology - Information not shown	NULL																														
VALUE	TRAIT	Time of Birth - Used for Astrology - Information not shown	NULL																														
VALUE	TRAIT	City of Birth - Used for Astrology - Information not shown	NULL																														
VALUE	TRAIT	Country of Birth - Used for Astrology - Information not shown	NULL																														
VALUE	TRAIT	State of Birth - Used for Astrology - Information not shown	NULL																														
VALUE	TRAIT	What is your height?	NULL																														
VALUE	TRAIT	What is your weight?	NULL																														
VALUE	TRAIT	What are you looking for?	NULL	MALE 	FEMALE	GROUP																											
VALUE	TRAIT	COMFORTABLE WITH…	NULL	Marriage	Long Term Relationship	Something Short and Sweet	Casual Sex	An Affair	A Frienship	Friends with Benefits	Go on an Outing	Chat	PenPal																				
VALUE	TRAIT	WOULD LIKE…	NULL	Marriage	Long Term Relationship	Something Short and Sweet	Casual Sex	An Affair	A Frienship	Friends with Benefits	Go on an Outing	Chat	PenPal																				
VALUE	TRAIT	MIGHT ALSO LIKE…	NULL	Marriage	Long Term Relationship	Something Short and Sweet	Casual Sex	An Affair	A Frienship	Friends with Benefits	Go on an Outing	Chat	PenPal																				
VALUE	TRAIT	IT WOULD BE GREAT…	NULL	Marriage	Long Term Relationship	Something Short and Sweet	Casual Sex	An Affair	A Frienship	Friends with Benefits	Go on an Outing	Chat	PenPal																				
VALUE	TRAIT	MUST HAVE…	NULL	Marriage	Long Term Relationship	Something Short and Sweet	Casual Sex	An Affair	A Frienship	Friends with Benefits	Go on an Outing	Chat	PenPal																				
VALUE	TRAIT	IDEAL AGE GROUP OF YOUR PARTNER..	NULL	30	40	50	60																										4
VALUE	Core	Is Race Important?	NULL	YES	NO	MAYBE																											
VALUE	Core	Is Ethnicity Important?	NULL	YES	NO	MAYBE																											
VALUE	Core	Is Age Important?	NULL	YES	NO	MAYBE																											
VALUE	Core	Is Religion Important?	NULL	YES	NO	MAYBE																											
VALUE	Core	Is Marriage Important?	NULL	YES	NO	MAYBE																											
VALUE	Core	Is a Long Term Relationship Important?	NULL	YES	NO	MAYBE																											
VALUE	Core	Is Monogamy Important?	NULL	YES	NO	MAYBE																											
VALUE	Core	Are Looks Important?	NULL	YES	NO	MAYBE																											
VALUE	Core	Do you want Children?	NULL	YES	NO	MAYBE																											
VALUE	Core	Is Income Important?	NULL	YES	NO	MAYBE																											
VALUE	Religion	Agnosticism	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Atheism	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Buddhism	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Catholism	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Christiantiy	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Druidism	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	FengShui	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Hinduism	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Islam	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Judaism	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Kabbalah	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Mormonism	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Neo_Paganism	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Reiki	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
VALUE	Religion	Scientology	NULL	No Opinion	Love it	Like it	Curious about	Tolerate it	Dislike it	Hate it	Hard Limit																						
